ID,Date_Time,Year,Month,Mdate,Day,Time,Sensor_ID,Sensor_Name,Hourly_Counts,total_count,Month_num,Day_num
404593,"January 03, 2012 04:00:00 PM",2012,January,3,Tuesday,16,1,Bourke Street Mall (North),2250,39294,1,2
932950,"September 05, 2014 05:00:00 AM",2014,September,5,Friday,5,3,Melbourne Central,96,36815,9,5
1982483,"October 05, 2017 08:00:00 AM",2017,October,5,Thursday,8,40,Lonsdale St-Spring St (West),648,6131,10,4
404829,"January 04, 2012 05:00:00 AM",2012,January,4,Wednesday,5,3,Melbourne Central,40,36815,1,3
590905,"March 12, 2013 06:00:00 AM",2013,March,12,Tuesday,6,12,New Quay,39,9339,3,2
1946249,"August 31, 2017 03:00:00 AM",2017,August,31,Thursday,3,46,Pelham St (South),0,950,8,4
1619856,"September 15, 2016 10:00:00 PM",2016,September,15,Thursday,22,25,Melbourne Convention Exhibition Centre,222,21974,9,4
2778279,"August 07, 2019 07:00:00 PM",2019,August,7,Wednesday,19,1,Bourke Street Mall (North),1616,39294,8,3
653892,"August 09, 2013 09:00:00 AM",2013,August,9,Friday,9,11,Waterfront City,18,3858,8,5
1367899,"January 08, 2016 10:00:00 AM",2016,January,8,Friday,10,18,Collins Place (North),322,19958,1,5
2873754,"October 22, 2019 12:00:00 AM",2019,October,22,Tuesday,0,58,Bourke St - Spencer St (North),99,3666,10,2
232723,"November 06, 2010 03:00:00 AM",2010,November,6,Saturday,3,17,Collins Place (South),28,20168,11,6
1835513,"May 05, 2017 06:00:00 AM",2017,May,5,Friday,6,9,Southern Cross Station,542,19152,5,5
3786470,"July 18, 2021 11:00:00 AM",2021,July,18,Sunday,11,76,Macaulay Rd-Bellair St,148,221,7,7
4193888,"March 13, 2022 06:00:00 AM",2022,March,13,Sunday,6,8,Webb Bridge,21,10114,3,7
3868964,"September 06, 2021 03:00:00 AM",2021,September,6,Monday,3,20,Chinatown-Lt Bourke St (South),1,9613,9,1
1739776,"January 20, 2017 10:00:00 PM",2017,January,20,Friday,22,28,The Arts Centre,1188,18152,1,5
3829051,"August 13, 2021 04:00:00 AM",2021,August,13,Friday,4,19,Chinatown-Swanston St (North),0,9047,8,5
4414730,"July 16, 2022 08:00:00 PM",2022,July,16,Saturday,20,76,Macaulay Rd - Bellair St,18,268,7,6
4009001,"November 28, 2021 01:00:00 PM",2021,November,28,Sunday,13,49,QVM-Therry St (South),394,3064,11,7
2820454,"September 09, 2019 05:00:00 PM",2019,September,9,Monday,17,27,QV Market-Peel St,202,4195,9,1
3706020,"May 30, 2021 09:00:00 PM",2021,May,30,Sunday,21,37,Lygon St (East),20,5038,5,7
3954240,"October 26, 2021 09:00:00 PM",2021,October,26,Tuesday,21,5,Princes Bridge,253,52415,10,2
592918,"March 16, 2013 10:00:00 PM",2013,March,16,Saturday,22,9,Southern Cross Station,47,19152,3,6
2217545,"May 02, 2018 12:00:00 AM",2018,May,2,Wednesday,0,41,Flinders La-Swanston St (West),255,18345,5,3
1917789,"August 02, 2017 05:00:00 AM",2017,August,2,Wednesday,5,25,Melbourne Convention Exhibition Centre,15,21974,8,3
1180611,"June 25, 2015 07:00:00 PM",2015,June,25,Thursday,19,8,Webb Bridge,101,10114,6,4
2481558,"December 08, 2018 12:00:00 PM",2018,December,8,Saturday,12,22,Flinders St-Elizabeth St (East),2130,44664,12,6
2870225,"October 19, 2019 07:00:00 AM",2019,October,19,Saturday,7,36,Queen St (West),57,5556,10,6
663704,"September 02, 2013 11:00:00 PM",2013,September,2,Monday,23,7,Birrarung Marr,10,19635,9,1
